"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"33","Psoralea bituminosa","1_4_bartomeus_spain_2008_medca_2_3.csv","Andrena cinerea",0,"bartomeus_2008_miq1op.csv","Spain",42.315336,3.296797,"Fabales","Fabaceae","Bituminaria","Bituminaria bituminosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","correal et al., 2008","journal: options meditarreennes","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","2.5","NA","NA","11.5","NA","NA","11.5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","0.1","0.45","0.27500000000000002","NA","online: http://www.herbiguide.com.au/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"34","Brassica fruticulosa","1_5_bartomeus_spain_2008_miqop_1_2.csv","Andrena sp.",0,"bartomeus_2008_miq1op.csv","Spain",42.315336,3.296797,"Brassicales","Brassicaceae","Brassica","Brassica fruticulosa","NA","bisexual","hermaphrodite","NA","none","quantitative","0","NA","42","self_incompatible","niemann, kotlarski & wojciechowski 2014","journal: acta scientiarum polonorum seria agricultura","NA","NA","flower","no","NA","no","yellow","tube","actinomorphic","15","NA","NA","5.5","NA","NA","5.5","NA","NA","NA","NA","NA","20.2","NA","NA","NA","NA","shrub","perennial","NA","NA","2","NA; NA","online: http://plantnet.rbgsyd.nsw.gov.au/; online: https://www2.palomar.edu/; journal: plosone","NA","NA","10.1371/journal.pone.0174176","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"35","Scabiosa stellata","1_5_bartomeus_spain_2008_miqop_1_2.csv","Andrena sp.",1,"bartomeus_2008_miq1op.csv","Spain",42.315336,3.296797,"Dipsacales","Caprifoliaceae","Scabiosa","Scabiosa stellata","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","tube","zygomorphic","2.4","NA","NA","9.1","8.5","9.6999999999999993","9.1","14","13","15","NA","NA","2","NA","NA","NA","NA","herb","annual","0.2","0.3","0.25","NA","online: https://www.floravascular.com/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"36","Dianthus caryophillus","1_6_bartomeus_spain_2008_selop_1_2.csv","Andrena sp.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Hypericum perfolatum","1_6_bartomeus_spain_2008_selop_1_2.csv","Andrena sp.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Ruta chalepensis","1_6_bartomeus_spain_2008_selop_1_2.csv","Andrena sp.",6,"bartomeus_2008_sel1op.csv","Spain",42.315336,3.296797,"Sapindales","Rutaceae","Ruta","Ruta chalepensis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","10","NA","NA","4","NA","NA","NA","5","NA","NA","NA","NA","11.5","8","15","NA","NA","herb","perennial","0.6","0.7","0.65","NA; ren & tang 2012; NA","online: efloraindia; journal: annals of botany; online: http://keralaplants.in/","NA","https://doi.org/10.1093/aob/mcs181","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"39","Aeschynomene mollicula","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Fabales","Fabaceae","Aeschynomene","Aeschynomene mollicula","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","apomixis","yes","orange","papilionaceous","zygomorphic","3","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","2","1","vanni 2016; NA","journal: boletin de la sociedad argentina de botanica 51(4):705-725; online: https://cropgenebank.sgrp.cgiar.org/images/file/forage_legumes/breeding%20systems%20table.pdf","10.31055/1851.2372.v51.n4.16359","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"40","Alternanthera sp.","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Amaranthaceae","Alternanthera","Alternanthera sp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"41","Arachis microsperma","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Fabales","Fabaceae","Arachis","Arachis microsperma","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","papilionaceous","zygomorphic","16","NA","NA","61.5","58","65","NA","NA","NA","NA","NA","NA","4","2","6","NA","NA","herb","perennial","NA","NA","NA","costa 2012; NA","thesis: universidade de brasilia, instituto de ciencias biologicas; online: http://www.worldfloraonline.org/ *ovule number*","http://repositorio.unb.br/handle/10482/13909","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"42","Arrabidaea sp.","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Lamiales","Bignoniaceae","Arrabidaea","Arrabidaea sp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"43","Ayenia tomentosa","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Malvales","Malvaceae","Ayenia","Ayenia tomentosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","bowl","actinomorphic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","NA","NA","herb","perennial","0.5","0.6","0.55000000000000004","ribeiro cruz 2007; NA","thesis: sterculiaceae vent.no estado de sao paulo; online: http://powo.science.kew.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"44","Borreria eryngioides","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Gentianales","Rubiaceae","Spermacoce","Spermacoce eryngioides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","2","NA","NA","1.9","1.1000000000000001","2.7","NA","0.35","0.2","0.5","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.1","0.3","0.2","florentin et al., 2016; NA","journal: boletin de la sociedad argentina de botanica *style length*; online: http://worldfloraonline.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"45","Camptosema paraguariense","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Fabales","Fabaceae","Camptosema","Camptosema paraguariense","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","papilionaceous","zygomorphic","5","NA","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","NA","NA","de matos alves 2008","master thesis: leguminosae: caesalpinioideae e papilionidae de um remanescente de chaco em porto murtinho - ms - brasil","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"46","Castela coccinea","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Sapindales","Simaroubaceae","Castela","Castela coccinea","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","334","self_incompatible","zapata & arroyo 1978","journal: biotropica *found as ximenia americana*","10.2307/2387907","NA","flower","NA","NA","NA","pink","dish","actinomorphic","0.5","NA","NA","0.5","NA","NA","NA","1.5","1","2","NA","NA","1","NA","NA","NA","NA","shrub","perennial","2","7","4.5","zapata & arroyo 1978; NA; NA; matthew 1991","journal: biotropica; online: http://hasbrouck.asu.edu (picture); online: https://plants.jstor.org/ *style length*; book: an excursion flora of central tamilnadu, india","10.2307/2387907","NA","NA","NA","NA","fruit","NA","NA","40","10","0","334","NA","NA","NA","NA","NA","NA"
"47","Cereus bicolor","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Cactaceae","Cereus","Cereus hildmannianus","NA","bisexual","hermaphrodite","NA","low","quantitative","7.5","NA","40","partially_self_compatible","weiss, nerd & mizrahi 2014; silva & sazima 1995","journal: israel journal of plant sciences; journal: flora","https://doi.org/10.1080/07929978.1994.10676566; https://doi.org/10.1016/S0367-2530(17)30674-6","NA","flower","NA","NA","NA","white","bowl","actinomorphic","125","100","150","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","5","15","10","NA","online: http://www.llifle.com","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"48","Cleistocactus baumannii","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Cactaceae","Cleistocactus","Cleistocactus baumannii","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","24","self_incompatible","bianchi et al., 2000","journal: flora","10.1016/S0367-2530(17)30992-1","NA","flower","NA","NA","no","red","tube","actinomorphic","7.19","NA","NA","50.02","NA","NA","50.02","38.61","18.03","52.38","10.53","20","915.15","200","1800","364.01","20","shrub","perennial","NA","1","0.5","bianchi et al., 2000; gorostiague & ortega-baes 2016","journal: flora; journal: plant biology *style length and ovule number*","10.1016/S0367-2530(17)30992-1","10.1111/plb.12297","NA","NA","NA","fruit","61.9","8","88.9","18","0","24","NA","NA","NA","NA","NA","NA"
"49","Cleome guianensis","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Brassicales","Cleomaceae","Cleome","Cleome guianensis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","zygomorphic","9","NA","NA","1","NA","NA","NA","5.15","NA","NA","NA","NA","14","2","26","NA","NA","herb","annual","0.1","0.4","0.25","NA; NA","online: http://swbiodiversity.org *style length from picture and approximate number of ovules from the family*; online: https://www.plantes-botanique.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"50","Cnidoscolus urens","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus urens","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","no","white","tube","actinomorphic","12.5","10","15","7.5","6","9","7.5","0.8","NA","NA","NA","NA","3","NA","NA","NA","NA","herb","perennial","0.1","1.2","0.65","NA; bawa, webb & tuttle 2008; NA","online: efloras.org; journal: botanical journal of the linnean society; online: http://www.nationaalherbarium.nl *style length and ovule number*","NA","https://doi.org/10.1111/j.1095-8339.1982.tb00371.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"51","Coccoloba guaranitica","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Polygonaceae","Coccoloba","Coccoloba guaranitica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green","dish","actinomorphic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","online: http://www.plantsystematics.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"52","Commelina nudiflora","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Commelinales","Commelinaceae","Murdannia","Murdannia nudiflora","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","high","quantitative","96","NA","NA","self_compatible","veena & nampy 2019","journal: botany","https://doi.org/10.1139/cjb-2019-0007","NA","flower","yes","NA","yes","purple","dish","actinomorphic","9","8","10","1.5","NA","NA","NA","0.9","NA","NA","NA","NA","6","NA","NA","NA","NA","herb","annual","NA","0.3","0.15","keighery 1982; nandikar & gurav 2015; NA","journal: flora; journal: phytodiversity vol. 2 (1): 56-112; online: http://www.efloras.org/ *style length and ovule number*","10.1016/S0367-2530(17)31344-0","NA","NA","NA","NA","fruit","73.5","NA","100","NA","98.25","NA","96","NA","NA","NA","45.5","NA"
"53","Croton sp.1","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Malpighiales","Euphorbiaceae","Croton","Croton sp. 1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"54","Croton sp.2","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Malpighiales","Euphorbiaceae","Croton","Croton sp. 2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"55","Cuphea thymoides","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Myrtales","Lythraceae","Cuphea","Cuphea thymoides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink","tube","actinomorphic","1.25","1","1.5","7","5","9","7","1","NA","NA","NA","NA","6","NA","NA","NA","NA","herb","perennial","0.25","0.8","0.5","graham 2001","journal: systematic botany 42(4):1-61 *style length and ovule number based on synonym serpyllifolia*","https://doi.org/10.1600/036364417X696528","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"56","Echinopsis rhodotricha","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Cactaceae","Echinopsis","Echinopsis rhodotricha","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","20","partially_self_compatible","ferreira et al., 2018","journal: plant biology","10.1111/plb.12641","NA","flower","NA","NA","no","white","tube","actinomorphic","112","NA","NA","167","NA","NA","131","126","NA","NA","18.5","8","2203","NA","NA","452","8","shrub","perennial","NA","0.4","0.2","gomes & araujo 2015; NA; ferreira et al., 2017","journal: gaia scienta edicao special cactaceae. volume 9(2):1-8; online: http://www.llifle.com; plant biology *ovule number and style length*","ISSN 1981-1268","NA","https://doi.org/10.1111/plb.12641","NA","NA","fruit","30","20","63.6","11","27.8","18","0","20","NA","NA","NA","NA"
"57","Eupatorium sp.","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Asterales","Asteraceae","Eupatorium","Eupatorium sp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"58","Gomphrena celosioides","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena celosioides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink_white","tube","actinomorphic","2","NA","NA","5.5","5","6","5.5","0.4","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","perennial","NA","0.3","0.15","townsend 1988; NA; NA","journal: royal botanical gardens, kew; online:http://wssa.net; online: https://indiabiodiversity.org/ *style length and ovule number/*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"59","Gomphrena elegans","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena elegans","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","tube","actinomorphic","1","NA","NA","3","NA","NA","3","2.25","1.5","4","NA","NA","1","NA","NA","NA","NA","herb","annual","0.5","1.5","1","NA; agudelo-henao 2008; NA","online: https://florabonaerense.blogspot.com; journal: flora de colombia monografia n. 23; online: http://swbiodiversity.org/ *ovule number and style length*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"60","Gymnocalycium sp.","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Cactaceae","Gymnocalycium","Gymnocalycium sp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"61","Harrisia balansae","10_1_souza_2017_brazil_chaco.csv","Acentron lentifera",0,"souza_2018_chaco.csv","Brazil",-21.701111,-57.885,"Caryophyllales","Cactaceae","Harrisia","Harrisia balansae","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","7","partially_self_compatible","ferreira et al., 2018","journal: plant biology","10.1111/plb.12641","NA","flower","yes","bulbil","no","white","tube","actinomorphic","120","NA","NA","175","NA","NA","89","138","NA","NA","17","8","5022","NA","NA","642","8","shrub","perennial","NA","3","2.2000000000000002","ferreira et al., 2017; walters et al., 2017","journal: plant biology *style length and ovule number*; journal: abc taxa","https://doi.org/10.1111/plb.12641","NA","NA","NA","NA","fruit","66.599999999999994","9","100","2","50","2","0","7","NA","NA","NA","NA"
