"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"133","Asclepias sullivantii","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,60,40,2.4,5.8,0.1,60,"herb","Perennial",0.9,0.00164751584963588
"134","Asclepias syriaca","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",400,100,40,4.5,4.5,0.1,208,"herb","Perennial",1.35,0.00165114273384097
"135","Asclepias tuberosa","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",1000,100,40,6.5,8,0.1,70,"herb","Perennial",0.45,0.00165699906586538
"136","Asclepias verticillata","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",80,80,40,5.5,9,0.1,48,"herb","Perennial",0.3,0.0016480038005807
"137","Asclepias viridiflora","Gentianales","Apocynaceae","Asclepias","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",250,25,43.9173199751961,20.4840005499045,11.3320232328221,5.65952504070357,75.1,"herb","Perennial",1.15923665414846,0.00164800375916586
"138","Asimina triloba","Magnoliales","Annonaceae","Asimina","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,2,100,20,20,2,50,"herb","Perennial",0.85,1.19357096992638e-05
"142","Aster ageratoides","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",8,8,17.5,17.5,8,3,25,"herb","Perennial",0.75,0.0118720906515277
"143","Aster asa-grayi","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,1,22.5,22.5,10,3,100,"herb","Perennial",0.24,0.0112647250722712
"144","Aster diplostephioides","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,15.3,15.3,30,5,200,"herb","Perennial",0.35,0.0115480369440772
"145","Aster glehnii","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",75,75,30,30,9.98956616637725,3,35,"herb","Perennial",1.35,0.0118570322466463
"146","Aster iinumae","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,1,29.1,29.1,1.5,1,75,"herb","Perennial",0.75,0.0112508233875327
"147","Aster oreophilus","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,1,29.1,29.1,10.6543733330981,5,75,"herb","Perennial",0.4,0.0118751893856967
"148","Aster salicifolius","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,15,4,4,7,3,40,"herb","Perennial",1.05,0.0112123131789168
"149","Aster satsumensis","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,15,19.1,19.1,7.05616419693595,3,75,"herb","Perennial",0.5,0.0111696427295121
"150","Aster souliei","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,1,13.2,13.2,10,5,200,"herb","Perennial",0.235,0.0120827551623478
"151","Aster subulatus","Asterales","Asteraceae","Aster","Hermaphrodite","self_compatible","none",36.1937482115218,"Capitulum","actinomorphic",100,20,13,13,13,3,35,"herb","Short lived",0.15,0.0188889278879388
"152","Aster vestitus","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,1,80,80,15,5,75,"herb","Perennial",0.95,0.0119741615501928
"153","Aster yunnanensis","Asterales","Asteraceae","Aster","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,62.5,62.5,9.1,5,75,"herb","Perennial",0.525,0.0115447447154573
"154","Astilbe thunbergii","Saxifragales","Saxifragaceae","Astilbe","Hermaphrodite","self_compatible","none",20.8109036683487,"Brush","actinomorphic",300,300,25,6,2,1.8,100,"herb","Perennial",0.9,0.000141934612756205
"155","Astragalus alpinus","Fabales","Fabaceae","Astragalus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,15,24,9,12,12,7,"herb","Perennial",0.14,0.000852972774630132
"156","Astragalus canadensis","Fabales","Fabaceae","Astragalus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,60,30,5,12.1,7.5,12,"herb","Perennial",0.9,0.000849913135939832
"157","Astragalus mexicanus","Fabales","Fabaceae","Astragalus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",300,15,35,10,16,7.5,12,"herb","Perennial",0.45,0.000835281147392437
"158","Astragalus pullus","Fabales","Fabaceae","Astragalus","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",120,20,30,5,10,10,16,"shrub","Perennial",0.15,0.00083403244871627
"159","Atamisquea emarginata","Brassicales","Capparaceae","Atamisquea","Hermaphrodite","self_incompatible","none",3.5,"Open","zygomorphic",10000,6,40,13,11.5028930921386,6,23,"shrub","Perennial",4.5,0.00033943336338173
"160","Aureolaria grandiflora","Lamiales","Orobanchaceae","Aureolaria","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",15,15,60,33,47.5,18,100,"herb","Perennial",1.05,0.00251732389301048
"161","Avicennia germinans","Lamiales","Acanthaceae","Avicennia","Hermaphrodite","self_compatible","low",10,"Tube","actinomorphic",5000,25,50,10,6,4,4,"tree","Perennial",14,0.00237216899542807
"162","Ayenia tomentosa","Malvales","Malvaceae","Ayenia","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,15,20,13.316710605972,5.07061237220566,0.5,10,"herb","Perennial",0.55,0.000305615829845261
"163","Azorina vidalii","Asterales","Campanulaceae","Azorina","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",50,12,50,11,24,15,451.312238673704,"shrub","Perennial",1.2,0.00446368815484551
"165","Bacopa monnieri","Lamiales","Plantaginaceae","Bacopa","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",10,1,7.5,7.5,10,4.1,178,"herb","Perennial",0.25,0.0021401229542403
"166","Badula insularis","Ericales","Primulaceae","Badula","Hermaphrodite","self_compatible","none",19.5069794297853,"Open","actinomorphic",300,30,30,9.45647220050561,6.17968503413405,0.1,4,"tree","Perennial",3.5,0.00126365040225868
"167","Badula platyphylla","Ericales","Primulaceae","Badula","Hermaphrodite","self_incompatible","none",13.0356980843726,"Open","actinomorphic",300,30,30,11.2746666196456,5.39832030458208,0.1,4,"shrub","Perennial",1.5,0.00127027454445864
"168","Baeckea gunniana","Myrtales","Myrtaceae","Baeckea","Hermaphrodite","self_compatible","none",28.7203486721763,"Open","actinomorphic",1500,15,35,4.5,1.3,0.6,19,"shrub","Perennial",0.75,0.000209628230081802
"169","Bakerella hoyifolia","Santalales","Loranthaceae","Bakerella","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",400,40,50,4.1,24.5,25,8,"herb","Perennial",0.75,0.000912755753542103
"170","Baptisia alba","Fabales","Fabaceae","Baptisia","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",500,85,60,22.6163622432724,19.6561484400075,6,30,"herb","Perennial",0.9,0.000732318939044204
"171","Baptisia bracteata","Fabales","Fabaceae","Baptisia","Hermaphrodite","self_compatible","low",13,"Papilionaceous","zygomorphic",600,30,60,14,16,12,18.5,"herb","Perennial",0.25,0.00073044947254873
"172","Barringtonia racemosa","Ericales","Lecythidaceae","Barringtonia","Hermaphrodite","self_compatible","none",9.79438239116007,"Brush","actinomorphic",2000,30,120,20,33.6433383954841,41,5,"tree","Perennial",6,0.00121931286540881
"173","Bartsia alpina","Lamiales","Orobanchaceae","Bartsia","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",10,10,35,5,17.5,17,94,"herb","Perennial",0.23,0.00249300640855022
"174","Bastardia viscosa","Malvales","Malvaceae","Bastardia","Hermaphrodite","self_compatible","medium",35,"Open","actinomorphic",20,20,7.1,7.1,2,1,5,"herb","Perennial",1,0.000330555347005328
"175","Bauhinia japonica","Fabales","Fabaceae","Bauhinia","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",100,5,60,19.1,37.3025153269282,50,8,"vine","Perennial",6,0.000662528566114355
"176","Bejaria aestuans","Ericales","Ericaceae","Bejaria","Hermaphrodite","self_compatible","none",13.0477134605302,"Campanulate","actinomorphic",100,10,100,35,25,28.1,100,"tree","Perennial",7.1,0.00137343589613803
"177","Bertiera zaluzania","Gentianales","Rubiaceae","Bertiera","Dioecious","dioecious","none",0,"Tube","actinomorphic",300,50,75,15,15,15,100,"shrub","Perennial",1,0.00173495968479374
"178","Beta vulgaris","Caryophyllales","Chenopodiaceae","Beta","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",150,150,10,2.5,4,2.01,1,"herb","Perennial",0.5,0.000979681465695658
"179","Bidens aristosa","Asterales","Asteraceae","Bidens","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,10,60,60,24.1,6,56.5,"herb","Short lived",0.75,0.0326381385461037
"180","Bidens bipinnata","Asterales","Asteraceae","Bidens","Hermaphrodite","self_compatible","none",27.8397301566898,"Capitulum","actinomorphic",5,5,7.5,7.5,2.1,2,19.5,"herb","Short lived",0.3,0.034351550649021
"181","Bidens connata","Asterales","Asteraceae","Bidens","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,3,14,14,3,6,70,"herb","Short lived",0.8,0.0316966975013744
"182","Bidens laevis","Asterales","Asteraceae","Bidens","Hermaphrodite","self_incompatible","none",1.94084731980123,"Capitulum","actinomorphic",3,3,40,40,10,6,80,"herb","Perennial",0.5,0.0328265067375043
"183","Bidens pilosa","Asterales","Asteraceae","Bidens","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,5,11,11,8,6,50,"herb","Short lived",0.85,0.0359376106755
"184","Bistorta macrophylla","Caryophyllales","Polygonaceae","Bistorta","Hermaphrodite","self_compatible","high",42.5743513980482,"Tube","actinomorphic",500,100,12.5,1,2.75,6,1,"herb","Perennial",0.15,0.000932397045191277
"185","Bistorta sinomontana","Caryophyllales","Polygonaceae","Bistorta","Hermaphrodite","self_compatible","high",42.1594958126546,"Tube","actinomorphic",100,100,10,3,4.5,3.6,1,"herb","Perennial",0.7,0.000930070605914483
"186","Bistorta tenuicaulis","Caryophyllales","Polygonaceae","Bistorta","Dioecious","self_compatible","none",33.9393444558399,"Tube","actinomorphic",200,50,15,2,4.5,8,1,"herb","Perennial",0.5,0.000929829446806104
"187","Bituminaria bituminosa","Fabales","Fabaceae","Bituminaria","Hermaphrodite","self_compatible","high",66.7949603491974,"Tube","zygomorphic",200,30,10,2.5,11.5,9,1,"herb","Short lived",0.275,0.000810979589680787
"188","Blainvillea dichotoma","Asterales","Asteraceae","Blainvillea","Hermaphrodite","self_compatible","none",27.0524826488255,"Capitulum","actinomorphic",15,3,20,5.1,2.1,0.5,10,"herb","Short lived",0.5,0.0362857249725652
"189","Blastus cochinchinensis","Myrtales","Melastomataceae","Blastus","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,6,35,8,3,10,100,"shrub","Perennial",2,0.00021265014269461
"190","Blephilia ciliata","Lamiales","Lamiaceae","Blephilia","Hermaphrodite","self_compatible","high",45.7671827504605,"Tube","zygomorphic",80,80,55,21.9004578095332,19.4840094369563,12,4,"herb","Perennial",0.45,0.00315271610796027
"191","Blephilia hirsuta","Lamiales","Lamiaceae","Blephilia","Hermaphrodite","self_compatible","high",49.2436732054046,"Tube","zygomorphic",75,25,55,7.1,10.1,10,4,"herb","Perennial",0.6,0.0031500763762098
"192","Boechera stricta","Brassicales","Brassicaceae","Boechera","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",35,5,10,2.1,1.1,0.175,163,"herb","Short lived",0.575,0.000361669620732572
"193","Boerhavia caribaea","Boraginales","Nyctaginaceae","Boerhaavia","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",500,25,5,0.5,0.5,2.65,1,"herb","Perennial",0.9,0.00104430253997791
"194","Boerhavia erecta","Caryophyllales","Nyctaginaceae","Boerhavia","Hermaphrodite","self_compatible","high",48.6440675213137,"Campanulate","actinomorphic",50,15,10,2,2,1.625,1,"herb","Short lived",0.5,0.00104917846700214
"195","Boerhavia tuberosa","Fabales","Nyctaginaceae","Boerhavia","Hermaphrodite","self_compatible","none",36.5159443884186,"Campanulate","actinomorphic",10,10,5,0.5,0.5,2.65,1,"herb","Perennial",0.9,0.00104766609335878
"196","Boltonia asteroides","Asterales","Asteraceae","Boltonia","Hermaphrodite","self_incompatible","none",-4.07413226946308,"Capitulum","actinomorphic",15,15,67.5,67.5,9.1,3,90,"herb","Perennial",1.15,0.0176953880302259
"197","Bonnetia sessilis","Malpighiales","Bonnetiaceae","Bonnetia","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",100,3,60,60,15.6,15,100,"shrub","Perennial",1.5,0.000502714254119969
"201","Brachyglottis bellidioides","Asterales","Asteraceae","Brachyglottis","Hermaphrodite","partially_self_compatible","medium",35,"Capitulum","actinomorphic",1,1,30,30,6.85,5,25,"herb","Perennial",0.05,0.00744249365518722
"202","Brachyglottis bidwillii","Asterales","Asteraceae","Brachyglottis","Hermaphrodite","partially_self_compatible","none",6.68714197870935,"Capitulum","actinomorphic",500,20,14.1,14.1,5.1,3,15,"shrub","Perennial",0.5,0.00728954692496055
"204","Brachyscome scapiformis","Asterales","Asteraceae","Brachyscome","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,1,15,15,3,2,35,"herb","Perennial",0.3,0.0127109194715572
"205","Brachyscome scapigera","Asterales","Asteraceae","Brachyscome","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",10,1,12,12,4.1,2,90,"herb","Perennial",0.2,0.012764371622663
"206","Brachyscome sinclairii","Asterales","Asteraceae","Brachyscome","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,20,20,2.5,2,60,"herb","Perennial",0.09,0.0122842205738159
"207","Brachyscome stolonifera","Asterales","Asteraceae","Brachyscome","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,1,12.5,12.5,4.5,2,60,"herb","Perennial",0.15,0.0129240949724444
"208","Brassica fruticulosa","Brassicales","Brassicaceae","Brassica","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",20,5,30,15,5.5,1.96,20.2,"shrub","Perennial",2,0.000377709361460638
"209","Brassica rapa","Brassicales","Brassicaceae","Brassica","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,15,40,10,5,1,26,"herb","Short lived",0.75,0.000377782018648464
"210","Bredemeyera microphylla","Fabales","Polygalaceae","Bredemeyera","Hermaphrodite","self_compatible","high",55.3520483269406,"Papilionaceous","zygomorphic",50,5,15,6,7.67027929335235,1.5,3.5,"shrub","Perennial",0.25,0.000642428331724673
"211","Bredia hirsuta","Myrtales","Melastomataceae","Bredia","Hermaphrodite","self_compatible","low",5.63,"Open","actinomorphic",30,5,120,29.1,0.5,10,100,"shrub","Perennial",1,0.00021430445048525
"212","Brocchinia acuminata","Poales","Bromeliaceae","Brocchinia","Hermaphrodite","self_compatible","none",33.7558933982686,"Open","actinomorphic",30,30,30,10.5,10.5,8,189.481748328853,"herb","Perennial",2,5.27594202912123e-05
"213","Brucea javanica","Sapindales","Simaroubaceae","Brucea","Monoecious","monoecious","none",0,"Open","actinomorphic",5000,200,15,1.75,0.9,1,4,"tree","Perennial",2.5,0.000258414910886863
"214","Buddleja mendozensis","Lamiales","Scrophulariaceae","Buddleja","Hermaphrodite","self_compatible","high",71,"Tube","actinomorphic",500,20,8,2,4,2.25,143,"shrub","Perennial",1.1,0.00233782731605168
"215","Bursera graveolens","Sapindales","Burseraceae","Bursera","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,50,20,4.8,4,1,2,"tree","Perennial",6,0.000244784964752202
"216","Caesalpinia pulcherrima","Fabales","Fabaceae","Caesalpinia","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",2000,60,50,50,10,50,6,"shrub","Perennial",1.5,0.000668264717782783
"217","Calamagrostis arundinacea","Poales","Poaceae","Calamagrostis","Hermaphrodite","self_compatible","high",49.1955699324271,"Open","zygomorphic",60,60,15,1,4,1,1,"herb","Perennial",0.45,5.96287090942397e-05
"218","Calea lucidivenia","Asterales","Asteraceae","Calea","Hermaphrodite","self_incompatible","none",3.74840845774213,"Capitulum","actinomorphic",50,10,10,16.4021302147751,5.44599240012604,3,90,"herb","Perennial",-0.593312265807743,0.116500894354845
"219","Calendula arvensis","Asterales","Asteraceae","Calendula","Hermaphrodite","self_compatible","medium",74.2,"Capitulum","actinomorphic",10,1,24.1,24.1,6,3,30,"herb","Short lived",0.25,0.00861919621674582
"220","Callicarpa japonica","Lamiales","Lamiaceae","Callicarpa","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",5000,100,30,4,4,2.1,9,"shrub","Perennial",1,0.00267000618541181
"221","Calluna vulgaris","Ericales","Ericaceae","Calluna","Hermaphrodite","partially_self_compatible","low",10.9,"Campanulate","actinomorphic",2500,40,18,6,6,5,3.1,"shrub","Perennial",0.5,0.00140050695005633
"222","Calophyllum eputamen","Malpighiales","Clusiaceae","Calophyllum","Hermaphrodite","self_compatible","none",19.0059339904657,"Open","actinomorphic",2000,50,100,15,16.68880809191,10,1,"tree","Perennial",4.6852273530297,0.000503056832631015
"223","Calopogon tuberosus","Asparagales","Orchidaceae","Calopogon","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",10,10,37.5,37.5,17,10,7600,"herb","Perennial",0.7,1.53218400855198e-05
"224","Calystegia hederacea","Solanales","Convolvulaceae","Calystegia hederacea","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",10,1,28.5,28.5,38.5,9.5,4,"vine","Perennial",0.3,0.00142382840849598
"225","Calystegia sepium","Solanales","Convolvulaceae","Calystegia","Hermaphrodite","self_compatible","low",5.3,"Campanulate","actinomorphic",10,1,60,60,55,22.5,4,"herb","Perennial",3,0.00144739713421711
"226","Camassia quamash","Asparagales","Asparagaceae","Camassia","Hermaphrodite","self_compatible","low",9,"Open","zygomorphic",100,30,100,35,19,15,21,"herb","Perennial",0.45,7.30209137760348e-05
"227","Camassia scilloides","Asparagales","Asparagaceae","Camassia","Hermaphrodite","self_compatible","none",27.1807401889906,"Open","actinomorphic",40,40,100,20,13.5,0.5,30,"herb","Perennial",0.6,7.34598594799054e-05
"228","Campanula americana","Asterales","Campanulaceae","Campanula","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,30,75,25,8,13.5,90,"herb","Short lived",1,0.00461416085630169
"229","Campanula giesekiana","Asterales","Campanulaceae","Campanula","Hermaphrodite","self_incompatible","low",0.03,"Campanulate","actinomorphic",10,3,20,20,32.5,15,259.2,"herb","Perennial",0.2,0.00449902434304609
