"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"Tristhema mauritiana","Myrtales","Melastomataceae","Tristemma","Tristemma mauritianum","Hermaphrodite","partially_self_compatible","low",11.7222593137255,"Open","actinomorphic",50,30,11.2390666666667,1.5,114.946675,"herb","Perennial",0.75,"no"
"Trochetia blackburniana","Malvales","Malvaceae","Trochetia","Trochetia blackburniana","Hermaphrodite","self_compatible","low",6.4,"Campanulate","actinomorphic",20,30,24.1,10,22.5,"shrub","Perennial",2.5,"yes"
"Trollius europaeus","Ranunculales","Ranunculaceae","Trollius","Trollius europaeus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",2,37.5,20,1,360,"herb","Perennial",0.45,"yes"
"Trollius vaginatus","Ranunculales","Ranunculaceae","Trollius","Trollius vaginatus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,30.1,5,31.12,360,"herb","Perennial",0.075,"no"
"Trollius yunnanensis","Ranunculales","Ranunculaceae","Trollius","Trollius yunnanensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,23.1,4,1,360,"herb","Perennial",0.5,"no"
"Tuberaria guttata","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",5,11.5,3,1,60,"herb","Short lived",0.15,"no"
"Turnera angustifolia","Malpighiales","Passifloraceae","Turnera","Turnera angustifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,50,18.4912071428571,8.16,38.25,"shrub","Perennial",0.6,"yes"
"Turraea rigida","Sapindales","Meliaceae","Turraea","Turraea rigida","Hermaphrodite","self_compatible","low",14.2287166666667,"Open","actinomorphic",10,30,15,15,6,"tree","Perennial",1.5,"yes"
"Ulex australis","Fabales","Fabaceae","Ulex","Ulex parviflorus","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",750,2.5,7.25,7,2,"shrub","Perennial",1,"no"
"Ulmus americana","Rosales","Ulmaceae","Ulmus","Ulmus americana","Monoecious","monoecious","none",0,"Open","actinomorphic",5000,3,2.1,2,1,"tree","Perennial",28,"yes"
"Ulmus fulva","Rosales","Ulmaceae","Ulmus","Ulmus rubra","Monoecious","monoecious","none",0,"Brush","actinomorphic",5000,0.5,1,2,1,"tree","Perennial",26.5,"yes"
"Urospermum picrioides","Asterales","Asteraceae","Urospermum","Urospermum picroides","Hermaphrodite","self_compatible","low",18.7044,"Capitulum","actinomorphic",5,20,17.5,10.5,40,"herb","Short lived",0.3,"yes"
"Uvularia grandiflora","Liliales","Colchicaceae","Uvularia","Uvularia grandiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,35,37.5,10,12,"herb","Perennial",0.4,"yes"
"Vaccinium euryanthum","Ericales","Ericaceae","Vaccinium","Vaccinium euryanthum","Hermaphrodite","self_compatible","low",0.12,"Campanulate","actinomorphic",80,10,10,10,85.93,"shrub","Perennial",0.75,"yes"
"Vaccinium myrtilloides","Ericales","Ericaceae","Vaccinium","Vaccinium myrtilloides","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",50,4.4,6,6,63,"shrub","Perennial",0.4,"yes"
"Vaccinium myrtillus","Ericales","Ericaceae","Vaccinium","Vaccinium myrtillus","Hermaphrodite","self_compatible","medium",35,"Tube","actinomorphic",50,5.8,5,4.7,90.8,"shrub","Perennial",0.5,"yes"
"Vaccinium puberulum","Ericales","Ericaceae","Vaccinium","Vaccinium puberulum","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",80,2.5,4,4,77,"shrub","Perennial",2,"yes"
"Vaccinium uliginosum","Ericales","Ericaceae","Vaccinium","Vaccinium uliginosum","Hermaphrodite","partially_self_compatible","medium",40,"Campanulate","actinomorphic",50,3.25,4.5,3.8,84.9,"shrub","Perennial",0.75,"yes"
"Vaccinium vitis-idaea","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea","Hermaphrodite","partially_self_compatible","medium",35,"Campanulate","actinomorphic",50,4.8,6.5,6.9,64.1,"shrub","Perennial",0.2,"yes"
"Vaccinium wrightii","Ericales","Ericaceae","Vaccinium","Vaccinium wrightii","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",200,5.5,6,10,77,"shrub","Perennial",4.5,"yes"
"Acacia macracantha","Fabales","Fabaceae","Vachellia","Vachellia macracantha","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,2,2,3,16,"tree","Perennial",5,"yes"
"Valeriana flaccidissima","Dipsacales","Caprifoliaceae","Valeriana","Valeriana flaccidissima","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",45,4.5,3,3.5,1,"herb","Perennial",0.5,"yes"
"Valeriana officinalis","Dipsacales","Caprifoliaceae","Valeriana","Valeriana officinalis","Dioecious","self_compatible","low",13,"Tube","zygomorphic",200,3.3,5,6.25,1,"herb","Perennial",0.7,"no"
"Valerianella radiata","Dipsacales","Caprifoliaceae","Valerianella","Valerianella radiata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",200,3,1.5,3.5,1,"herb","Short lived",3,"yes"
"Vallesia glabra","Gentianales","Apocynaceae","Vallesia","Vallesia glabra","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",500,6,7.5,7.5,3,"tree","Perennial",4,"yes"
"Verbascum thapsus","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,27.5,14.5,14.5,3,"herb","Short lived",1,"no"
"Verbena bracteosa","Lamiales","Verbenaceae","Verbena","Verbena bracteata","Hermaphrodite","self_compatible","medium",33,"Tube","zygomorphic",100,2.1,7,0.6,4,"herb","Short lived",0.3,"yes"
"Verbena hastata","Lamiales","Verbenaceae","Verbena","Verbena hastata","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",100,4.5,4.4,1.25,5,"herb","Perennial",1.2,"yes"
"Verbena stricta","Lamiales","Verbenaceae","Verbena","Verbena stricta","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,7,6,1.5,5,"herb","Short lived",0.75,"yes"
"Verbena urticaefolia","Lamiales","Verbenaceae","Verbena","Verbena urticifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",75,2.5,3,0.5,5,"herb","Short lived",1,"yes"
"Actinomeris alternifolia","Asterales","Asteraceae","Verbesina","Verbesina alternifolia","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,12.5,4,5.3,70.5,"herb","Perennial",1.15,"yes"
"Verbesina helianthoides","Asterales","Asteraceae","Verbesina","Verbesina helianthoides","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",3,25.2,35,5.2,70.5,"herb","Perennial",0.9,"yes"
"Vernonia fasciculata","Asterales","Asteraceae","Vernonia","Vernonia fasciculata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,6,4,10,18.5,"herb","Perennial",1.2,"yes"
"Veronica arvensis","Lamiales","Plantaginaceae","Veronica","Veronica arvensis","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",2,3,1,0.7,30,"herb","Short lived",0.125,"yes"
"Veronica beccabunga","Lamiales","Plantaginaceae","Veronica","Veronica beccabunga","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",60,2,6,3,61,"herb","Perennial",0.45,"yes"
"Hebe brachysiphon","Lamiales","Plantaginaceae","Veronica","Veronica brachysiphon","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",150,4.5,3.5,5.7,21,"shrub","Perennial",1.3,"yes"
"Veronica chamaedrys","Lamiales","Plantaginaceae","Veronica","Veronica chamaedrys","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",4,11,1,4,16,"herb","Perennial",0.195,"yes"
"Parahebe decora","Lamiales","Plantaginaceae","Veronica","Veronica decora","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",100,9,7.5,3.5,30,"herb","Perennial",0.03,"yes"
"Hebe epacridea","Lamiales","Plantaginaceae","Veronica","Veronica epacridea","Hermaphrodite","self_compatible","low",15.7962642857143,"Tube","actinomorphic",400,3.1,1.9,4.75,20,"shrub","Perennial",0.2,"yes"
"Hebe odora","Lamiales","Plantaginaceae","Veronica","Veronica odora","Hermaphrodite","self_compatible","low",13.1465416666667,"Tube","actinomorphic",2000,1.5,3.25,5.35,21,"shrub","Perennial",1.3,"yes"
"Veronica peregrina","Lamiales","Plantaginaceae","Veronica","Veronica peregrina","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",2,2.1,1.8,0.25,30,"herb","Short lived",0.175,"yes"
"Hebe pinguifolia","Lamiales","Plantaginaceae","Veronica","Veronica pinguifolia","Hermaphrodite","self_compatible","low",16.9830916666667,"Tube","actinomorphic",2000,5.5,1.5,4.25,32,"shrub","Perennial",0.3,"yes"
"Veronica_polita","Lamiales","Plantaginaceae","Veronica","Veronica polita","Hermaphrodite","self_compatible","low",17.6823666666667,"Open","zygomorphic",15,5.5,2,1.3,11.75,"herb","Short lived",0.15,"yes"
"Hebe salicifolia","Lamiales","Plantaginaceae","Veronica","Veronica salicifolia","Hermaphrodite","self_compatible","low",10.1434583333333,"Tube","zygomorphic",5000,5,6,4.75,30,"shrub","Perennial",2.5,"yes"
"Veronica serpyllifolia","Lamiales","Plantaginaceae","Veronica","Veronica serpyllifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",40,8,2.8,2.25,59,"herb","Perennial",0.125,"yes"
"Hebe subalpina","Lamiales","Plantaginaceae","Veronica","Veronica subalpina","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",1000,4.5,2.5,6,30,"shrub","Perennial",1,"yes"
"Veronica virginica","Lamiales","Plantaginaceae","Veronicastrum","Veronicastrum virginicum","Hermaphrodite","self_compatible","low",12.9956726190476,"Tube","zygomorphic",1000,3.1,6.1,8,12.596756043956,"herb","Perennial",1.4,"yes"
"Viburnum phlebotricum","Dipsacales","Adoxaceae","Viburnum","Viburnum phlebotricum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1400.78270833333,5,1,1.01291666666667,31.12,"herb","Perennial",1.5,"yes"
"Viburnum plicatum","Dipsacales","Adoxaceae","Viburnum","Viburnum plicatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7500,4.1,1,0.5,31.12,"shrub","Perennial",1,"yes"
"Viburnum prunifolium","Dipsacales","Adoxaceae","Viburnum","Viburnum prunifolium","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",6000,8.1,3,0.7,31.12,"shrub","Perennial",1,"yes"
"Viburnum pubescens","Dipsacales","Adoxaceae","Viburnum","Viburnum pubescens","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",6000,3,1.5,1,31.12,"shrub","Perennial",2.5,"yes"
"Vicia cracca","Fabales","Fabaceae","Vicia","Vicia cracca","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",250,6.5,11,11,5.5,"vine","Perennial",1,"yes"
"Vicea lutea","Fabales","Fabaceae","Vicia","Vicia lutea","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,11.25,22.5,2,4.5,"herb","Perennial",0.75,"yes"
"Vicia nummularia","Fabales","Fabaceae","Vicia","Vicia nummularia","Hermaphrodite","self_compatible","low",15.4764714285714,"Tube","zygomorphic",181.683333333333,3.5,8.1,6,5,"herb","Perennial",0.5,"yes"
"Vicia sativa","Fabales","Fabaceae","Vicia","Vicia sativa","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,8.5,20,1.1,5.6,"herb","Short lived",0.27,"yes"
"Vicia sepium","Fabales","Fabaceae","Vicia","Vicia sepium","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",75,13.5,13.5,9,5,"herb","Perennial",0.5,"yes"
"Vicia venosa","Fabales","Fabaceae","Vicia","Vicia venosa","Hermaphrodite","self_compatible","low",14.7582,"Tube","zygomorphic",30,5,13,13,8,"herb","Perennial",0.6,"yes"
"Vigna luteola","Fabales","Fabaceae","Vigna","Vigna luteola","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",20,19,19,19,7.5,"herb","Short lived",1.25,"yes"
"Vigna marina","Fabales","Fabaceae","Vigna","Vigna marina","Hermaphrodite","self_compatible","low",13.0184,"Papilionaceous","zygomorphic",10,16,12,12,7.5,"vine","Perennial",1,"yes"
"Viola verecunda","Malpighiales","Violaceae","Viola","Viola arcuata","Hermaphrodite","self_compatible","low",12.7101583333333,"Campanulate","zygomorphic",5,32.5,20,1.3,37.7,"herb","Perennial",0.18,"yes"
"Viola biflora","Malpighiales","Violaceae","Viola","Viola biflora","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",5,10,8,1,37.7,"herb","Perennial",0.09,"yes"
"Viola cunninghamii","Malpighiales","Violaceae","Viola","Viola cunninghamii","Hermaphrodite","partially_self_compatible","low",10,"Open","zygomorphic",5,12,8,1.75,25,"herb","Perennial",0.025,"yes"
"Viola delavayi","Malpighiales","Violaceae","Viola","Viola delavayi","Hermaphrodite","self_compatible","low",14.6919884236453,"Tube","zygomorphic",3,22.5,6.1,6,37.7,"herb","Perennial",0.2,"yes"
"Viola cucullata","Malpighiales","Violaceae","Viola","Viola obliqua","Hermaphrodite","self_compatible","low",12.681924137931,"Tube","zygomorphic",1,22.5,17.5,6,41.5,"herb","Perennial",0.1,"yes"
"Viola pedata","Malpighiales","Violaceae","Viola","Viola pedata","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",6,38,3.2,2,29.55,"herb","Perennial",0.15,"yes"
"Viola pedatifida","Malpighiales","Violaceae","Viola","Viola pedatifida","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",2,18,15,3,41.5,"herb","Perennial",0.11,"yes"
"Viola pseudo-japonica","Malpighiales","Violaceae","Viola","Viola philippica","Hermaphrodite","self_compatible","low",15.9345166666667,"Papilionaceous","zygomorphic",5,12.5,12.5,3,37.7,"herb","Perennial",0.9,"yes"
"Viola pubescens","Malpighiales","Violaceae","Viola","Viola pubescens","Hermaphrodite","self_compatible","medium",59,"Tube","zygomorphic",2,19,20,3,28.05,"herb","Perennial",0.25,"yes"
"Viola sagittata","Malpighiales","Violaceae","Viola","Viola sagittata","Hermaphrodite","self_compatible","low",13.308474137931,"Tube","zygomorphic",7,22,19.5,3,41.5,"herb","Perennial",0.275,"yes"
"Viola sororia","Malpighiales","Violaceae","Viola","Viola sororia","Hermaphrodite","self_compatible","low",14.387324137931,"Open","zygomorphic",3,25,17.5,3,53,"herb","Perennial",0.22,"yes"
"Viola striata","Malpighiales","Violaceae","Viola","Viola striata","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","zygomorphic",5,20,30,3,41.5,"herb","Perennial",0.225,"yes"
"Vismia lauriformis","Malpighiales","Hypericaceae","Vismia","Vismia lauriformis","Hermaphrodite","self_compatible","low",8.8826125,"Open","actinomorphic",12893,2,3,0.5,50,"tree","Perennial",14.5,"no"
"Vitex rotundifolia","Lamiales","Lamiaceae","Vitex","Vitex trifolia","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",4315.11,10,11.5,6.5,4,"shrub","Perennial",5,"yes"
"Vitis cordifolia","Vitales","Vitaceae","Vitis","Vitis cordifolia","Hermaphrodite","self_compatible","low",11.0074625,"Open","actinomorphic",2246.60833333333,3,3,0.1,2,"vine","Perennial",12.05,"yes"
"Vitis vulpina","Vitales","Vitaceae","Vitis","Vitis vulpina","Monoecious","self_compatible","low",10.40695,"Open","actinomorphic",1000,3,3,0.1,2,"vine","Perennial",10,"yes"
"Wahlenbergia albomarginata","Asterales","Campanulaceae","Wahlenbergia","Wahlenbergia albomarginata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",1,17.5,11,7,379,"herb","Perennial",0.05,"yes"
"Wahlenbergia ceracea","Asterales","Campanulaceae","Wahlenbergia","Wahlenbergia ceracea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",3,16.5,7.15,8.75,379,"herb","Perennial",0.625,"yes"
"Waltheria indica","Malvales","Malvaceae","Waltheria","Waltheria indica","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",75,4,4.3,1.75,2,"shrub","Perennial",1.75,"yes"
"Waltheria ovata","Malvales","Malvaceae","Waltheria","Waltheria ovata","Hermaphrodite","partially_self_compatible","medium",25,"Campanulate","actinomorphic",100,5,5,2.8,2,"shrub","Perennial",1.55,"yes"
"Warneckea trinervis","Myrtales","Melastomataceae","Warneckea","Warneckea trinervis","Hermaphrodite","partially_self_compatible","low",8.75154166666667,"Open","actinomorphic",2316.9375,6,2,4.5,36.221,"shrub","Perennial",2,"no"
"Weigela hortensis","Dipsacales","Caprifoliaceae","Weigela","Weigela hortensis","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",1500,20,30,30,336.334983333333,"shrub","Perennial",2.5,"yes"
"Wendtandia formosana","Gentianales","Rubiaceae","Wendlandia","Wendlandia formosana","Hermaphrodite","self_incompatible","none",0,"Funnelform","actinomorphic",5000,3,4,4,87.5,"tree","Perennial",5,"yes"
"Wikstroemia indica","Malvales","Thymelaeaceae","Wikstroemia","Wikstroemia indica","Hermaphrodite","self_compatible","low",10.75185,"Tube","actinomorphic",800,6.5,9,0.5,2,"shrub","Perennial",2.5,"yes"
"Wisteria floribunda","Fabales","Fabaceae","Wisteria","Wisteria floribunda","Hermaphrodite","self_compatible","low",10.3153,"Papilionaceous","zygomorphic",2500,15,17.5,17.5,10.5,"vine","Perennial",10,"yes"
"VVedelia biflora","Asterales","Asteraceae","Wollastonia","Wollastonia biflora","Hermaphrodite","self_compatible","low",14.9359348522167,"Tube","actinomorphic",5,10,5,4.15,20,"shrub","Perennial",1.5,"yes"
"Xylopia lamarckii","Magnoliales","Annonaceae","Xylopia","Xylopia lamarckii","Hermaphrodite","self_compatible","low",13.66017,"Tube","actinomorphic",70,20,40,10,5,"tree","Perennial",4.92810555555556,"no"
"Xyris laxifolia","Poales","Xyridaceae","Xyris","Xyris laxifolia","Hermaphrodite","self_compatible","medium",40.63,"Open","actinomorphic",30,13,5.5,2.5,51.1500222222222,"herb","Perennial",1,"no"
"Xyris savanensis","Poales","Xyridaceae","Xyris","Xyris savanensis","Hermaphrodite","partially_self_compatible","low",16.67,"Open","actinomorphic",30,5,2.5,2.5,146.471502579365,"herb","Perennial",0.3,"no"
"Xyris setigera","Poales","Xyridaceae","Xyris","Xyris setigera","Hermaphrodite","self_compatible","medium",50.5,"Open","zygomorphic",1,12,5,2.5,1973.16263095238,"herb","Perennial",9.1,"no"
"Youngia japonica","Asterales","Asteraceae","Youngia","Youngia japonica","Hermaphrodite","self_compatible","high",80,"Capitulum","actinomorphic",30,10,4.5,4,15,"herb","Short lived",0.3,"yes"
"Zanthoxylum americanum","Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum americanum","Dioecious","dioecious","none",0,"Open","actinomorphic",7204.14606240981,6,6,1.75,2,"shrub","Perennial",4.4,"yes"
"Zea mays","Poales","Poaceae","Zea","Zea mays","Monoecious","monoecious","none",0,"Brush","actinomorphic",7301.8675,6,12.5,45,1,"herb","Short lived",2.5,"no"
"Metothria tiukiuensis","Cucurbitales","Cucurbitaceae","Zehneria","Zehneria mucronata","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",50,6.5,6,4.5,80.53765,"vine","Perennial",2.5,"yes"
"Zizia aurea","Apiales","Apiaceae","Zizia","Zizia aurea","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",200,3,6,0.5,2,"herb","Perennial",0.55,"yes"
"Ziziphus oblongifolius","Rosales","Rhamnaceae","Ziziphus","Ziziphus mistol","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",15271.8558333333,5,1,1,2.5,"tree","Perennial",9.5,"yes"
