"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Myosotis virginica","Boraginales","Boraginaceae","Myosotis","Myosotis verna","Hermaphrodite","partially_self_compatible","low",11.965435,"Tube","actinomorphic",30,1.5,1,0.5,4,"herb","Short lived",0.2,"yes",11.1323568166667,114658.198793333
"Myosurus minimus","Ranunculales","Ranunculaceae","Myosurus","Myosurus minimus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,6.5,1,0.45,400,"herb","Short lived",0.75,"yes",5.07594515,69052.758
"Myrsine segttinii","Ericales","Primulaceae","Myrsine","Myrsine seguinii","Hermaphrodite","partially_self_compatible","low",6.13645,"Open","actinomorphic",3500,3,1,1,3,"tree","Perennial",7,"no",0,306170.63985
"Mirtus communis","Myrtales","Myrtaceae","Myrtus","Myrtus communis","Hermaphrodite","self_compatible","medium",49,"Open","actinomorphic",500,25,3.75,15,72,"shrub","Perennial",2.5,"no",0,1330295
"Prenanthes aspera","Asterales","Asteraceae","Nabalus","Nabalus asper","Monoecious","monoecious","none",0,"Capitulum","actinomorphic",18,38,20,14,9.1,"herb","Perennial",0.75,"yes",3.263893,155299.012777778
"Prenanthes crepidinea","Asterales","Asteraceae","Nabalus","Nabalus crepidineus","Hermaphrodite","self_compatible","low",14.34205,"Capitulum","actinomorphic",45,16,16,20,9,"herb","Perennial",1.8,"yes",2.17691,198584.4055
"Nelumbo lutea","Proteales","Nelumbonaceae","Nelumbo","Nelumbo lutea","Hermaphrodite","self_compatible","low",18.3,"Open","actinomorphic",1,150,40,0.5,24.9,"herb","Perennial",1.35,"no",0,303152.86725
"Phebalium ovatifolium","Sapindales","Rutaceae","Nematolepis","Nematolepis ovatifolia","Hermaphrodite","self_compatible","low",14.148575,"Open","actinomorphic",50,10,1,2,10,"shrub","Perennial",0.5,"yes",1.64233378333333,79944.195
"Nemopanthus mucronata","Aquifoliales","Aquifoliaceae","Nemopanthus","Nemopanthus mucronatus","Dioecious","dioecious","none",0,"Open","actinomorphic",35,5.1,2.5,0.1,24.5,"shrub","Perennial",2.4,"yes",2.06911628333333,96192.90125
"Nepenthes pervillei","Caryophyllales","Nepenthaceae","Nepenthes","Nepenthes pervillei","Dioecious","dioecious","none",0,"Tube","actinomorphic",1,19.1,28.2,1,24,"vine","Perennial",5.1,"yes",17.642886,195026.797
"Nepeta cataria","Lamiales","Lamiaceae","Nepeta","Nepeta cataria","Hermaphrodite","self_compatible","medium",63.7,"Tube","zygomorphic",50,4.25,8.5,7.1,4,"herb","Perennial",0.6,"yes",1.44287333333333,3625
"Nepeta laevigata","Lamiales","Lamiaceae","Nepeta","Nepeta laevigata","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",60,4,10,10,4,"herb","Perennial",0.575,"yes",1.598835,16372.5539772222
"Nepeta stewartiana","Lamiales","Lamiaceae","Nepeta","Nepeta stewartiana","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",40,15,22.5,10,4,"herb","Perennial",1,"yes",2.551243,32155.9518333333
"Nephrosperma vanhoutteanum","Arecales","Arecaceae","Nephrosperma","Nephrosperma vanhoutteanum","Monoecious","monoecious","none",0,"Spike","actinomorphic",1400,3,1,1,1500,"tree","Perennial",7.5,"yes",27.9319825,558061.62685
"Neptunia plena","Fabales","Fabaceae","Neptunia","Neptunia plena","Hermaphrodite","self_compatible","low",15.2070071428571,"Campanulate","actinomorphic",200,1,10,6,19.1,"herb","Perennial",1,"yes",3.5526156,35991.7457033333
"Nolana galapagensis","Solanales","Solanaceae","Nolana","Nolana galapagensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",5000,8,16,7,30,"shrub","Perennial",1,"yes",0.62,34991.7803166667
"Northea hornei","Ericales","Sapotaceae","Northea","Northia seychellana","Hermaphrodite","self_compatible","low",12.2146666666667,"Campanulate","actinomorphic",500,12,6.5,8,5,"tree","Perennial",12,"yes",5.56382,111742.860166667
"Nothoscordum bivalve","Asparagales","Amaryllidaceae","Nothoscordum","Nothoscordum bivalve","Hermaphrodite","self_compatible","high",80,"Open","actinomorphic",15,3.5,0.7,3.25,18,"herb","Perennial",0.125,"yes",3.72813431666667,30697.90411
"Notopora schomburgkii","Ericales","Ericaceae","Notopora","Notopora schomburgkii","Hermaphrodite","self_incompatible","low",1.5,"Campanulate","actinomorphic",1224.7925,5,15,15,145.931488888889,"shrub","Perennial",1.65415,"yes",54.751775,116463.48323
"Nymphaea advena","Nymphaeales","Nymphaeaceae","Nuphar","Nuphar advena","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",20,40,24,0,300,"herb","Perennial",0.75,"yes",15.937328,202947.500916667
"Castalia tuberosa","Nymphaeales","Nymphaeaceae","Nymphaea","Nymphaea odorata","Hermaphrodite","self_compatible","low",19.3979833333333,"Open","actinomorphic",1,125,62.5,1.5,112.5,"herb","Perennial",0.225,"yes",12.94265975,231868.471
"Ochna kirkii","Malpighiales","Ochnaceae","Ochna","Ochna kirkii","Hermaphrodite","self_compatible","low",8.9988,"Open","actinomorphic",50,45,11.1,13,9,"shrub","Perennial",1.2,"no",0,279175.334
"Ochna mauritiana","Malpighiales","Ochnaceae","Ochna","Ochna mauritiana","Hermaphrodite","partially_self_compatible","low",6.306,"Open","actinomorphic",120,19.1,5,1.5,9,"shrub","Perennial",4.75,"no",0,306983.81
"Ocotea laevigata","Laurales","Lauraceae","Ocotea","Ocotea laevigata","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",500,2,2,0.5,1,"tree","Perennial",8.05525961538461,"no",0,304271.667
"Oenothera biennis","Myrtales","Onagraceae","Oenothera","Oenothera biennis","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",5,37.5,60,42.5,536,"herb","Short lived",0.7,"yes",32.861495,15276
"Oenothera fruticosa","Myrtales","Onagraceae","Oenothera","Oenothera fruticosa","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,29.1,10,15,148,"herb","Perennial",0.45,"yes",0.3,191555.028
"Olea lancea","Lamiales","Oleaceae","Olea","Olea lancea","Hermaphrodite","partially_self_compatible","low",6.80895,"Open","actinomorphic",6000,4,0.5,0.5,4,"tree","Perennial",4,"no",0,203454.84835
"Olearia bullata","Asterales","Asteraceae","Olearia","Olearia bullata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1000,13,7.5,4.35,9.5,"shrub","Perennial",2,"yes",0.956405833333334,296856.202905
"Olearia phlogopappa","Asterales","Asteraceae","Olearia","Olearia phlogopappa","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,22.5,8,8,9.5,"shrub","Perennial",0.75,"yes",3.48582258333333,154170.908087778
"Olearia virgata","Asterales","Asteraceae","Olearia","Olearia virgata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3600,4,1,4,9.5,"tree","Perennial",4,"yes",1.77653916666667,219619.45
"Omphalodes japonica","Boraginales","Boraginaceae","Omphalodes","Omphalodes japonica","Hermaphrodite","self_compatible","low",11.401675,"Open","actinomorphic",25,9,2,0.5,4,"herb","Perennial",0.14,"yes",3.169105,154646.800333333
"Onosma confertum","Boraginales","Boraginaceae","Onosma","Onosma confertum","Hermaphrodite","self_compatible","low",11.329,"Tube","actinomorphic",50,7.5,14.5,15.5,4,"herb","Perennial",0.5,"yes",3.04372,710880
"Opuntia echios","Caryophyllales","Cactaceae","Opuntia","Opuntia echios","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",100,67.47,25.33,26.5,300,"tree","Perennial",2.75,"yes",0.66,386143.57246
"Opuntia bergeriana","Caryophyllales","Cactaceae","Opuntia","Opuntia elatior","Hermaphrodite","self_compatible","low",12.5951333333333,"Open","actinomorphic",30,40,20,22.5,270,"shrub","Perennial",2,"yes",15.41427,131914.589
"Opuntia galapageia","Caryophyllales","Cactaceae","Opuntia","Opuntia galapageia","Hermaphrodite","self_compatible","low",14.8972,"Open","actinomorphic",75,100,25,22.5,270,"tree","Perennial",4.5,"yes",26.0913225,433212.497
"Opuntia helleri","Caryophyllales","Cactaceae","Opuntia","Opuntia helleri","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,42.5,60,22.5,270,"shrub","Perennial",1,"yes",110,84728.0702933333
"Opuntia megasperma","Caryophyllales","Cactaceae","Opuntia","Opuntia megasperma","Hermaphrodite","self_compatible","low",13.5332,"Open","actinomorphic",50,82.5,95,31,270,"shrub","Perennial",3,"yes",34.0094865,272065.241666667
"Opuntia stricta","Caryophyllales","Cactaceae","Opuntia","Opuntia stricta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",100,70,25,17.5,270,"herb","Perennial",0.26,"yes",22.9113375,281895.737515714
"Opuntia sulphurea","Caryophyllales","Cactaceae","Opuntia","Opuntia sulphurea","Hermaphrodite","self_compatible","low",13.86235,"Open","actinomorphic",50,52.5,32.5,45,270,"shrub","Perennial",0.18,"yes",33.74125,170475.504016667
"Origanum vulgare","Lamiales","Lamiaceae","Origanum","Origanum vulgare","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",100,4,7.5,18.5,4,"herb","Perennial",0.5,"yes",1.32921416666667,1761
"Orites lancifolia","Proteales","Proteaceae","Orites","Orites lancifolius","Hermaphrodite","self_compatible","low",12.7171083333333,"Tube","actinomorphic",9500,5,4.1,8,2,"shrub","Perennial",1,"yes",6.85276423333333,68239.38666
"Orixa japonica","Sapindales","Rutaceae","Orixa","Orixa japonica","Dioecious","dioecious","none",0,"Open","actinomorphic",1000,5.5,2,1,4,"vine","Perennial",1.5,"yes",1.18766325,73106.7446
"Ormocaipum cochinchinense","Fabales","Fabaceae","Ormocarpum","Ormocarpum cochinchinense","Hermaphrodite","self_compatible","low",11.6148166666667,"Papilionaceous","zygomorphic",10,17,17,18.5,6,"tree","Perennial",3.75,"yes",4.90971666666667,192244.692
"Orobanche uniflora","Lamiales","Orobanchaceae","Orobanche","Orobanche uniflora","Hermaphrodite","self_compatible","low",14.3978,"Tube","zygomorphic",5,8.5,23.5,7,12,"herb","Short lived",0.125,"yes",4.061095,139785.233125
"Osmorrhiza longistylis","Apiales","Apiaceae","Osmorhiza","Osmorhiza longistylis","Hermaphrodite","self_compatible","low",16.5013,"Open","actinomorphic",60,3,2,3,2,"herb","Perennial",0.55,"yes",5.46171059999999,39380.15585
"Osterium sieboldii","Apiales","Apiaceae","Ostericum","Ostericum sieboldii","Hermaphrodite","self_compatible","low",15.38635,"Open","actinomorphic",200,2.5,0.5,0.5,2,"herb","Perennial",1,"yes",0.6622631,8612.3375
"Ourisia caespitosa","Lamiales","Plantaginaceae","Ourisia","Ourisia caespitosa","Hermaphrodite","partially_self_compatible","low",4,"Open","zygomorphic",100,25,25,5.3,224,"herb","Perennial",0.75,"yes",20.556019,22711
"Ourisia macrocarpa","Lamiales","Plantaginaceae","Ourisia","Ourisia macrocarpa","Hermaphrodite","self_compatible","medium",33,"Open","actinomorphic",20,25.6,24.2,5.3,224,"herb","Perennial",0.5,"yes",9.72051,78601.76375
"Oxalis stricta","Oxalidales","Oxalidaceae","Oxalis","Oxalis stricta","Hermaphrodite","self_compatible","medium",30,"Open","actinomorphic",20,5.1,1.3,1,71,"herb","Perennial",1.65,"yes",2.408208,3313
"Oxalis violacea","Oxalidales","Oxalidaceae","Oxalis","Oxalis violacea","Hermaphrodite","self_incompatible","low",13,"Campanulate","actinomorphic",20,50,24.1,0.75,71,"herb","Perennial",0.15,"yes",14.2104450833333,150324.513852857
"Oxylobium ellipticum","Fabales","Fabaceae","Oxylobium","Oxylobium ellipticum","Hermaphrodite","self_compatible","low",16.3074404761905,"Papilionaceous","zygomorphic",200,7.1,9,5,9,"shrub","Perennial",1,"yes",0.816068483333333,52962.7270833333
"Oxypolis rigidior","Apiales","Apiaceae","Oxypolis","Oxypolis rigidior","Hermaphrodite","self_compatible","low",15.09145,"Open","actinomorphic",300,3,0.4,0.5,2,"herb","Perennial",1.05,"yes",5.14421075,17411.8045
"Cassinia vauvilliersi","Asterales","Asteraceae","Ozothamnus","Ozothamnus leptophyllus","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",600,2.5,2.5,3.15,5,"shrub","Perennial",2.75,"yes",3.0805928,157071.27492
"Paederia scandens","Gentianales","Rubiaceae","Paederia","Paederia foetida","Hermaphrodite","self_incompatible","low",2.5,"Campanulate","actinomorphic",50,10,10,9.5,2,"vine","Perennial",4.5,"yes",4.81691555555556,93864.649
"Paeonia japonica","Saxifragales","Paeoniaceae","Paeonia","Paeonia obovata","Hermaphrodite","self_compatible","low",15.7929928571429,"Open","actinomorphic",15,20,40,3,73,"herb","Perennial",0.5,"no",0,139087.881655
"Pagameopsis garryoides","Gentianales","Rubiaceae","Pagameopsis","Pagameopsis garryoides","Hermaphrodite","self_compatible","low",15.00125,"Tube","actinomorphic",1066.9575,3.78766666666667,4.19979285714286,2.96,2,"shrub","Perennial",1.36853,"yes",5.17982771666666,22337.27912
"Pandanus barklyi","Pandanales","Pandanaceae","Pandanus","Pandanus barkleyi","Dioecious","dioecious","none",0,"Brush","actinomorphic",300,2,2,1,1,"shrub","Perennial",4.5,"no",0,1003933.48435
"Pandanus odoratissimus","Pandanales","Pandanaceae","Pandanus","Pandanus odorifer","Dioecious","dioecious","none",0,"Brush","actinomorphic",1500,2,2,1,1,"shrub","Perennial",1,"no",0,924452.11285
"Pandanus rigidifolius","Pandanales","Pandanaceae","Pandanus","Pandanus rigidifolius","Monoecious","monoecious","none",0,"Brush","actinomorphic",900,2,2,1,1,"shrub","Perennial",2.5,"no",0,953732.6465
"Pandanus wiehii","Malpighiales","Pandaceae","Pandanus","Pandanus wiehei","Monoecious","monoecious","none",0,"Brush","actinomorphic",1200,2,2,1,1,"shrub","Perennial",4,"no",0,1000271.178
"Panicum virgatum","Poales","Poaceae","Panicum","Panicum virgatum","Hermaphrodite","self_incompatible","low",13,"Open","zygomorphic",300,1.85,5.25,0.5,1,"herb","Perennial",1.25,"yes",1.53639915,47781.9872666667
"Papaver radicatum","Ranunculales","Papaveraceae","papaver","Papaver radicatum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,16,2.1,0,700,"herb","Perennial",0.2,"no",0,199347.287065
"Paragenipa lancifolia","Gentianales","Rubiaceae","Paragenipa","Paragenipa wrightii","Hermaphrodite","partially_self_compatible","low",10.9273833333333,"Campanulate","actinomorphic",10,10,5.5,5,130.91435,"tree","Perennial",5.5,"yes",11.7488341666667,147100.601626667
"Parahebe lyalii","Lamiales","Plantaginaceae","Parahebe","Parahebe lyallii","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",100,11.5,6.9,4,25,"herb","Perennial",0.15,"no",0,60655.0259166667
"Paraserianthes falcataria","Fabales","Fabaceae","Paraserianthes","Paraserianthes serratifolia","Hermaphrodite","self_compatible","low",12.5455666666667,"Brush","actinomorphic",20000,5,5.25,20,264.650785714286,"tree","Perennial",13,"yes",41.3032333333333,674768.61827
"Parkinsonia aculeata","Fabales","Fabaceae","Parkinsonia","Parkinsonia aculeata","Hermaphrodite","self_compatible","low",5.7,"Papilionaceous","zygomorphic",10000,25,5,4,9,"tree","Perennial",6,"yes",0.58,65040
"Parkinsonia praecox","Fabales","Fabaceae","Parkinsonia","Parkinsonia praecox","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",5000,17.5,5,4,9,"tree","Perennial",4,"yes",2.758415,100803.155666667
"Parnassia palustris","Celastrales","Celastraceae","Parnassia","Parnassia palustris","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,25,10.8267333333333,1,225,"herb","Perennial",0.15,"yes",7.1185,176698.7195
"Parthenium integrifolium","Asterales","Asteraceae","Parthenium","Parthenium integrifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",90,8,3.1,3.5,30,"herb","Perennial",0.75,"yes",0.598203,182044.28685
"Psedera quinquefolia","Vitales","Vitaceae","Parthenocissus","Parthenocissus quinquefolia","Hermaphrodite","self_compatible","low",12.1029583333333,"Open","actinomorphic",1000,6,4,0.5,4,"vine","Perennial",9,"yes",2.61182265,106603.739666667
"Passiflora foetida","Malpighiales","Passifloraceae","Passiflora","Passiflora foetida","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",10,40,4,7,2.2,"vine","Short lived",3,"yes",0.44,6667
"Passiflora lutea","Malpighiales","Passifloraceae","Passiflora","Passiflora lutea","Hermaphrodite","partially_self_compatible","low",6.25,"Open","actinomorphic",10,24,1.2,3.25,10,"vine","Perennial",2,"yes",6.28533265000001,126156.1975
"Passiflora suberosa","Malpighiales","Passifloraceae","Passiflora","Passiflora suberosa","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",10,19,1,4,23.1,"vine","Perennial",0.3,"yes",4.91,6319
"Pastinaca sativa","Apiales","Apiaceae","Pastinaca","Pastinaca sativa","Monoecious","self_compatible","low",15.54735,"Open","actinomorphic",175,4.1,31.12,1,2,"herb","Short lived",0.9,"yes",6.89190681666667,72109.557
"Patrinia villosa","Dipsacales","Caprifoliaceae","Patrinia","Patrinia villosa","Hermaphrodite","self_compatible","low",18.27355,"Campanulate","actinomorphic",175,6,2.05,5,11.4061666666667,"herb","Perennial",0.85,"yes",2.96609248333333,46690.50491
"Pavonia sidifolia","Malvales","Malvaceae","Pavonia","Pavonia sidifolia","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",10,17.5,4,4,5,"shrub","Perennial",0.75,"yes",2.99219,78408.4375
"Pedicularis arctica","Lamiales","Orobanchaceae","Pedicularis","Pedicularis arctica","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",40,6.5,11.5,10,1156,"herb","Perennial",0.125,"yes",13.72005,163599.109
"Pedicularis cephalantha","Lamiales","Orobanchaceae","Pedicularis","Pedicularis cephalantha","Hermaphrodite","self_compatible","low",19.0411,"Tube","zygomorphic",15,3,21,15,27.4,"herb","Short lived",0.4,"no",0,53871.146855
"Pedicularis densispica","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densispica","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",15,5,10,12,32,"herb","Short lived",0.375,"yes",3,119194
"Pedicularis dichotoma","Lamiales","Orobanchaceae","Pedicularis","Pedicularis dichotoma","Hermaphrodite","self_compatible","low",14.1263595238095,"Tube","zygomorphic",15,14,20,26,31.31,"herb","Perennial",0.15,"yes",0.09,29168
"Pedicularis flammea","Lamiales","Orobanchaceae","Pedicularis","Pedicularis flammea","Hermaphrodite","self_compatible","medium",50.5,"Tube","zygomorphic",20,5.1,12,15,27.4,"herb","Perennial",0.125,"yes",8.36286999999998,17604
"Pedicularis hirsuta","Lamiales","Orobanchaceae","Pedicularis","Pedicularis hirsuta","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,12,10,49.9,"herb","Perennial",0.15,"yes",10.1144033333333,47405
"Pedicularis longiflora","Lamiales","Orobanchaceae","Pedicularis","Pedicularis longiflora","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",8,19.1,65,65,30.6,"herb","Short lived",0.14,"no",0,22702.5
"Pedicularis monbeigiana","Lamiales","Orobanchaceae","Pedicularis","Pedicularis monbeigiana","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",20,20,20,20,7.8,"herb","Perennial",0.7,"no",0,36697
"Pedicularis rex","Lamiales","Orobanchaceae","Pedicularis","Pedicularis rex","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",20,11.6,30,20,29.5,"herb","Perennial",0.5,"yes",1.13,332526
"Pedicularis siphonantha","Lamiales","Orobanchaceae","Pedicularis","Pedicularis siphonantha","Hermaphrodite","partially_self_compatible","low",11.64765,"Tube","zygomorphic",78,15,55,10,18.7,"herb","Perennial",0.025,"no",0,23007
