"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"786","Tephrosia virginiana","Fabales","Fabaceae","Tephrosia","Tephrosia virginiana","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",15,17.5,17.5,9.5,8,"herb","Perennial",0.45,"yes"
"787","Euodia meliifolia","Sapindales","Rutaceae","Tetradium","Tetradium glabrifolium","Dioecious","dioecious","none",0,"Campanulate","actinomorphic",2500,3,3,0.5,9,"tree","Perennial",12.5,"yes"
"788","Tetramerium nervosum","Lamiales","Acanthaceae","Tetramerium","Tetramerium nervosum","Hermaphrodite","self_compatible","medium",54.2,"Tube","zygomorphic",10,11,14.1,14,4,"herb","Perennial",0.15,"yes"
"789","Thalictrum dasycarpum","Ranunculales","Ranunculaceae","Thalictrum","Thalictrum dasycarpum","Dioecious","dioecious","none",0,"Brush","actinomorphic",650,3,5,4,12,"shrub","Perennial",1.2,"no"
"790","Thaspium aureum atropurpurem","Apiales","Apiaceae","Thaspium","Thaspium trifoliatum","Hermaphrodite","partially_self_compatible","low",21.25,"Open","actinomorphic",150,2.5,1,1.42,2,"herb","Perennial",0.6,"yes"
"791","Thlaspi arvense","Brassicales","Brassicaceae","Thlaspi","Thlaspi arvense","Hermaphrodite","partially_self_compatible","medium",40,"Open","actinomorphic",150,5,NA,0.2,12,"herb","Short lived",0.3,"yes"
"792","Thymelaea hirusta","Malvales","Thymelaeaceae","Thymelaea","Thymelaea hirsuta","Dioecious","self_compatible","low",13,"Campanulate","actinomorphic",400,3.75,2.5,0.25,1,"shrub","Perennial",1.5,"yes"
"793","Thymus mastichina","Lamiales","Lamiaceae","Thymus","Thymus mastichina","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,3,14,20,4,"shrub","Perennial",0.4,"yes"
"794","Tilia americana","Malvales","Malvaceae","Tilia","Tilia americana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5000,12,11,5,10,"tree","Perennial",30,"yes"
"795","Tillandsia didisticha","Poales","Bromeliaceae","Tillandsia","Tillandsia didisticha","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10,4,17.5,8.1,131,"herb","Perennial",0.15,"yes"
"796","Timonius flavescens","Gentianales","Rubiaceae","Timonius","Timonius sechellensis","Dioecious","dioecious","none",0,"Tube","actinomorphic",100,3,6.5,6,4,"tree","Perennial",6,"yes"
"797","Tococa nitens","Myrtales","Melastomataceae","Tococa","Tococa nitens","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",1000,22,5,12.1,239.83,"shrub","Perennial",3.25,"no"
"798","Toddalia asiatica","Sapindales","Rutaceae","Toddalia","Toddalia asiatica","Dioecious","dioecious","none",0,"Open","actinomorphic",750,3.1,1,2,2,"vine","Perennial",8.5,"no"
"799","Tournefortia pubescens","Boraginales","Boraginaceae","Tournefortia","Tournefortia pubescens","Hermaphrodite","self_compatible","low",9.7,"Tube","actinomorphic",500,3.26,3.91,1,3.1,"shrub","Perennial",2.5,"yes"
"800","Tradescantia pilosa","Commelinales","Commelinaceae","Tradescantia","Tradescantia subaspera","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",2,25,1.5,4,6,"herb","Perennial",0.675,"no"
"801","Tradescantia brevicaulis","Commelinales","Commelinaceae","Tradescantia","Tradescantia virginiana","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",3,35,10,3,6,"herb","Perennial",0.15,"no"
"802","Tribulus cistoides","Zygophyllales","Zygophyllaceae","Tribulus","Tribulus cistoides","Hermaphrodite","self_compatible","medium",36,"Open","actinomorphic",30,25,0.5,4,17.5,"herb","Short lived",2.8,"yes"
"803","Trifolium arvense","Fabales","Fabaceae","Trifolium","Trifolium arvense","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",100,2,5,4,4,"herb","Short lived",0.25,"yes"
"804","Trifolium campestre","Fabales","Fabaceae","Trifolium","Trifolium campestre","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",150,3,4.75,1,4,"herb","Short lived",0.15,"no"
"805","Trifolium dubium","Fabales","Fabaceae","Trifolium","Trifolium dubium","Hermaphrodite","self_compatible","high",100,"Papilionaceous","actinomorphic",100,8.5,8.5,1,2,"herb","Short lived",0.27,"no"
"806","Trifolium hybridum","Fabales","Fabaceae","Trifolium","Trifolium hybridum","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",500,4,7.5,2.5,2,"herb","Short lived",0.45,"yes"
"807","Trifolium pratense","Fabales","Fabaceae","Trifolium","Trifolium pratense","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",200,6.75,15,7,2.5,"herb","Perennial",0.325,"yes"
"808","Trifolium reflexum","Fabales","Fabaceae","Trifolium","Trifolium reflexum","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",150,4.5,9,3,12,"herb","Short lived",0.35,"yes"
"809","Trifolium repens","Fabales","Fabaceae","Trifolium","Trifolium repens","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",75,3,9,3,4,"herb","Perennial",0.2,"yes"
"810","Specularia perfoliata","Asterales","Campanulaceae","Triodanis","Triodanis perfoliata","Hermaphrodite","self_compatible","medium",100,"Open","actinomorphic",20,10.5,5.25,4.5,200,"herb","Short lived",0.55,"no"
"811","Trochetia blackburniana","Malvales","Malvaceae","Trochetia","Trochetia blackburniana","Hermaphrodite","self_compatible","low",6.4,"Campanulate","actinomorphic",20,30,24.1,10,22.5,"shrub","Perennial",2.5,"yes"
"812","Trollius europaeus","Ranunculales","Ranunculaceae","Trollius","Trollius europaeus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",2,37.5,20,1,360,"herb","Perennial",0.45,"yes"
"813","Trollius vaginatus","Ranunculales","Ranunculaceae","Trollius","Trollius vaginatus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",1,30.1,5,31.12,360,"herb","Perennial",0.075,"no"
"814","Trollius yunnanensis","Ranunculales","Ranunculaceae","Trollius","Trollius yunnanensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",5,23.1,4,1,360,"herb","Perennial",0.5,"no"
"815","Tuberaria guttata","Malvales","Cistaceae","Tuberaria","Tuberaria guttata","Hermaphrodite","self_compatible","high",90,"Open","actinomorphic",5,11.5,3,1,60,"herb","Short lived",0.15,"no"
"816","Turnera angustifolia","Malpighiales","Passifloraceae","Turnera","Turnera angustifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,50,NA,8.16,38.25,"shrub","Perennial",0.6,"yes"
"817","Ulex australis","Fabales","Fabaceae","Ulex","Ulex parviflorus","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",750,2.5,7.25,7,2,"shrub","Perennial",1,"no"
"818","Ulmus americana","Rosales","Ulmaceae","Ulmus","Ulmus americana","Monoecious","monoecious","none",0,"Open","actinomorphic",5000,3,2.1,2,1,"tree","Perennial",28,"yes"
"819","Ulmus fulva","Rosales","Ulmaceae","Ulmus","Ulmus rubra","Monoecious","monoecious","none",0,"Brush","actinomorphic",5000,0.5,1,2,1,"tree","Perennial",26.5,"yes"
"820","Uvularia grandiflora","Liliales","Colchicaceae","Uvularia","Uvularia grandiflora","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",5,35,37.5,10,12,"herb","Perennial",0.4,"yes"
"821","Vaccinium euryanthum","Ericales","Ericaceae","Vaccinium","Vaccinium euryanthum","Hermaphrodite","self_compatible","low",0.12,"Campanulate","actinomorphic",80,10,10,10,85.93,"shrub","Perennial",0.75,"yes"
"822","Vaccinium myrtilloides","Ericales","Ericaceae","Vaccinium","Vaccinium myrtilloides","Hermaphrodite","partially_self_compatible",NA,0,"Campanulate","actinomorphic",50,4.4,6,6,63,"shrub","Perennial",0.4,"yes"
"823","Vaccinium myrtillus","Ericales","Ericaceae","Vaccinium","Vaccinium myrtillus","Hermaphrodite","self_compatible","medium",35,"Tube","actinomorphic",50,5.8,5,4.7,90.8,"shrub","Perennial",0.5,"yes"
"824","Vaccinium puberulum","Ericales","Ericaceae","Vaccinium","Vaccinium puberulum","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",80,2.5,4,4,77,"shrub","Perennial",2,"yes"
"825","Vaccinium uliginosum","Ericales","Ericaceae","Vaccinium","Vaccinium uliginosum","Hermaphrodite","partially_self_compatible","medium",40,"Campanulate","actinomorphic",50,3.25,4.5,3.8,84.9,"shrub","Perennial",0.75,"yes"
"826","Vaccinium vitis-idaea","Ericales","Ericaceae","Vaccinium","Vaccinium vitis-idaea","Hermaphrodite","partially_self_compatible","medium",35,"Campanulate","actinomorphic",50,4.8,6.5,6.9,64.1,"shrub","Perennial",0.2,"yes"
"827","Acacia macracantha","Fabales","Fabaceae","Vachellia","Vachellia macracantha","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",10000,2,2,3,16,"tree","Perennial",5,"yes"
"828","Valeriana officinalis","Dipsacales","Caprifoliaceae","Valeriana","Valeriana officinalis","Dioecious","self_compatible","low",13,"Tube","zygomorphic",200,3.3,5,6.25,1,"herb","Perennial",0.7,"no"
"829","Valerianella radiata","Dipsacales","Caprifoliaceae","Valerianella","Valerianella radiata","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",200,3,1.5,3.5,1,"herb","Short lived",3,"yes"
"830","Vallesia glabra","Gentianales","Apocynaceae","Vallesia","Vallesia glabra","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",500,6,7.5,7.5,3,"tree","Perennial",4,"yes"
"831","Verbascum thapsus","Lamiales","Scrophulariaceae","Verbascum","Verbascum thapsus","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,27.5,14.5,14.5,3,"herb","Short lived",1,"no"
"832","Verbena bracteosa","Lamiales","Verbenaceae","Verbena","Verbena bracteata","Hermaphrodite","self_compatible","medium",33,"Tube","zygomorphic",100,2.1,7,0.6,4,"herb","Short lived",0.3,"yes"
"833","Verbena hastata","Lamiales","Verbenaceae","Verbena","Verbena hastata","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",100,4.5,4.4,1.25,5,"herb","Perennial",1.2,"yes"
"834","Verbena stricta","Lamiales","Verbenaceae","Verbena","Verbena stricta","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",250,7,6,1.5,5,"herb","Short lived",0.75,"yes"
"835","Verbena urticaefolia","Lamiales","Verbenaceae","Verbena","Verbena urticifolia","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",75,2.5,3,0.5,5,"herb","Short lived",1,"yes"
"836","Actinomeris alternifolia","Asterales","Asteraceae","Verbesina","Verbesina alternifolia","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,12.5,4,5.3,70.5,"herb","Perennial",1.15,"yes"
"837","Verbesina helianthoides","Asterales","Asteraceae","Verbesina","Verbesina helianthoides","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",3,25.2,35,5.2,70.5,"herb","Perennial",0.9,"yes"
"838","Vernonia fasciculata","Asterales","Asteraceae","Vernonia","Vernonia fasciculata","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,6,4,10,18.5,"herb","Perennial",1.2,"yes"
"839","Veronica arvensis","Lamiales","Plantaginaceae","Veronica","Veronica arvensis","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",2,3,1,0.7,30,"herb","Short lived",0.125,"yes"
"840","Veronica beccabunga","Lamiales","Plantaginaceae","Veronica","Veronica beccabunga","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",60,2,6,3,61,"herb","Perennial",0.45,"yes"
"841","Hebe brachysiphon","Lamiales","Plantaginaceae","Veronica","Veronica brachysiphon","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",150,4.5,3.5,5.7,21,"shrub","Perennial",1.3,"yes"
"842","Veronica chamaedrys","Lamiales","Plantaginaceae","Veronica","Veronica chamaedrys","Hermaphrodite","self_incompatible","none",0,"Open","zygomorphic",4,11,1,4,16,"herb","Perennial",0.195,"yes"
"843","Parahebe decora","Lamiales","Plantaginaceae","Veronica","Veronica decora","Hermaphrodite","self_compatible","low",13,"Open","zygomorphic",100,9,7.5,3.5,30,"herb","Perennial",0.03,"yes"
"844","Veronica peregrina","Lamiales","Plantaginaceae","Veronica","Veronica peregrina","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",2,2.1,1.8,0.25,30,"herb","Short lived",0.175,"yes"
"845","Veronica serpyllifolia","Lamiales","Plantaginaceae","Veronica","Veronica serpyllifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",40,8,2.8,2.25,59,"herb","Perennial",0.125,"yes"
"846","Hebe subalpina","Lamiales","Plantaginaceae","Veronica","Veronica subalpina","Hermaphrodite","self_compatible","high",100,"Tube","actinomorphic",1000,4.5,2.5,6,30,"shrub","Perennial",1,"yes"
"847","Viburnum plicatum","Dipsacales","Adoxaceae","Viburnum","Viburnum plicatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7500,4.1,1,0.5,31.12,"shrub","Perennial",1,"yes"
"848","Viburnum prunifolium","Dipsacales","Adoxaceae","Viburnum","Viburnum prunifolium","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",6000,8.1,3,0.7,31.12,"shrub","Perennial",1,"yes"
"849","Viburnum pubescens","Dipsacales","Adoxaceae","Viburnum","Viburnum pubescens","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",6000,3,1.5,1,31.12,"shrub","Perennial",2.5,"yes"
"850","Vicia cracca","Fabales","Fabaceae","Vicia","Vicia cracca","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",250,6.5,11,11,5.5,"vine","Perennial",1,"yes"
"851","Vicea lutea","Fabales","Fabaceae","Vicia","Vicia lutea","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,11.25,22.5,2,4.5,NA,NA,0.75,"yes"
"852","Vicia sativa","Fabales","Fabaceae","Vicia","Vicia sativa","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",50,8.5,20,1.1,5.6,"herb","Short lived",0.27,"yes"
"853","Vicia sepium","Fabales","Fabaceae","Vicia","Vicia sepium","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",75,13.5,13.5,9,5,"herb","Perennial",0.5,"yes"
"854","Vigna luteola","Fabales","Fabaceae","Vigna","Vigna luteola","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",20,19,19,19,7.5,"herb","Short lived",1.25,"yes"
"855","Viola biflora","Malpighiales","Violaceae","Viola","Viola biflora","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",5,10,8,1,37.7,"herb","Perennial",0.09,"yes"
"856","Viola cunninghamii","Malpighiales","Violaceae","Viola","Viola cunninghamii","Hermaphrodite","partially_self_compatible","low",10,"Open","zygomorphic",5,12,8,1.75,25,"herb","Perennial",0.025,"yes"
"857","Viola pedata","Malpighiales","Violaceae","Viola","Viola pedata","Hermaphrodite","self_incompatible","none",0,"Tube","zygomorphic",6,38,3.2,2,29.55,"herb","Perennial",0.15,"yes"
"858","Viola pedatifida","Malpighiales","Violaceae","Viola","Viola pedatifida","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",2,18,15,3,41.5,"herb","Perennial",0.11,"yes"
"859","Viola pubescens","Malpighiales","Violaceae","Viola","Viola pubescens","Hermaphrodite","self_compatible","medium",59,"Tube","zygomorphic",2,19,20,3,28.05,"herb","Perennial",0.25,"yes"
"860","Viola striata","Malpighiales","Violaceae","Viola","Viola striata","Hermaphrodite","self_compatible","medium",50.5,"Campanulate","zygomorphic",5,20,30,3,41.5,"herb","Perennial",0.225,"yes"
"861","Wahlenbergia albomarginata","Asterales","Campanulaceae","Wahlenbergia","Wahlenbergia albomarginata","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",1,17.5,11,7,379,"herb","Perennial",0.05,"yes"
"862","Wahlenbergia ceracea","Asterales","Campanulaceae","Wahlenbergia","Wahlenbergia ceracea","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",3,16.5,7.15,8.75,379,"herb","Perennial",0.625,"yes"
"863","Waltheria indica","Malvales","Malvaceae","Waltheria","Waltheria indica","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",75,4,4.3,1.75,2,"shrub","Perennial",1.75,"yes"
"864","Waltheria ovata","Malvales","Malvaceae","Waltheria","Waltheria ovata","Hermaphrodite","partially_self_compatible","medium",25,"Campanulate","actinomorphic",100,5,5,2.8,2,"shrub","Perennial",1.55,"yes"
"865","Wendtandia formosana","Gentianales","Rubiaceae","Wendlandia","Wendlandia formosana","Hermaphrodite","self_incompatible","none",0,"Funnelform","actinomorphic",5000,3,4,4,87.5,"tree","Perennial",5,"yes"
"866","Youngia japonica","Asterales","Asteraceae","Youngia","Youngia japonica","Hermaphrodite","self_compatible","high",80,"Capitulum","actinomorphic",30,10,4.5,4,15,"herb","Short lived",0.3,"yes"
"867","Zizia aurea","Apiales","Apiaceae","Zizia","Zizia aurea","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",200,3,6,0.5,2,"herb","Perennial",0.55,"yes"
"868","Campanula rotundifolia","Asterales","Campanulaceae","Campanula","Campanula rotundifolia","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",5,22.5,22.5,10.5,112,"herb","Perennial",0.45,"yes"
"869","Galium verum","Gentianales","Rubiaceae","Galium","Galium verum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",300,3,3,1,2,"herb","Perennial",0.3,"yes"
"870","Melampyrum pratense","Lamiales","Orobanchaceae","Melampyrum","Melampyrum pratense","Hermaphrodite","self_compatible","low",25,"Tube","zygomorphic",5,5,15,15,4,"herb","Short lived",0.25,"yes"
"871","Myosotis alpestris","Boraginales","Boraginaceae","Myosotis","Myosotis alpestris","Hermaphrodite","self_compatible","medium",50.5,"Tube","actinomorphic",15,10,10,3.25,4,"herb","Perennial",0.125,"yes"
"872","Plantago lanceolata","Lamiales","Plantaginaceae","Plantago","Plantago lanceolata","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",350,2,2,6,2,"herb","Perennial",0.3,"no"
"873","Primula veris","Ericales","Primulaceae","Primula","Primula veris","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",50,11.5,11.5,8,51.2,"herb","Perennial",0.225,"yes"
"874","Prunella vulgaris","Lamiales","Lamiaceae","Prunella","Prunella vulgaris","Hermaphrodite","self_compatible","high",100,"Tube","zygomorphic",80,5,10,8.49,4,"herb","Perennial",0.2,"yes"
"875","Solidago virgaurea","Asterales","Asteraceae","Solidago","Solidago virgaurea","Hermaphrodite","partially_self_compatible","medium",50.5,"Capitulum","actinomorphic",50,4,12.5,2,5,"herb","Perennial",0.65,"yes"
"876","Saxifraga tricuspidata","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga tricuspidata","Hermaphrodite","self_compatible","medium",45,"Open","actinomorphic",50,12,6,1,75,"herb","Perennial",0.15,"yes"
